pet_id,name,age,gender,size,status,date_arrived,adopted_date,type,breed,shelter_name,city,state,snapshot_date
c18a0d6b-2548-4d0f-8813-d91429b7a592,Pet_2097,7,Male,Large,Adopted,2025-12-31,,Cat,Persian,Forever Homes,SomeCity,SomeState,2025-12-31
46876352-f7d3-4d0b-8d6f-58ac6849af94,Pet_8103,14,Male,Medium,Available,2025-11-27,2026-01-11,Cat,Russian Blue,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
cc932e4a-35f5-4b72-8ab6-f202238a0ad2,Pet_1418,0,Female,Medium,Adopted,2025-07-06,2025-07-30,Cat,Himalayan,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
ad178ae8-83e3-4991-940f-c666f6532c72,Pet_2296,12,Female,Small,Pending,2025-10-30,,Dog,Great Dane,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
47bccb3a-7d12-4e22-9440-a18535fb32c0,Pet_2449,0,Male,Small,Pending,2025-08-31,2025-10-03,Cat,Siamese,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
ae6ae3a2-a79f-4dfa-a0f4-a35e8b853d01,Pet_5914,12,Male,Large,Available,2025-12-13,2026-01-23,Dog,Rottweiler,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
3cdd1a21-cc81-4048-bb9a-fd6bf364f0d9,Pet_2359,15,Male,Small,Pending,2025-09-30,,Dog,Mastiff,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
e05151a3-fdba-4839-ac59-23bf42c8c1f4,Pet_4971,14,Male,Large,Pending,2025-12-18,,Cat,Ragdoll,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
c7afcdb4-5b03-4185-aedb-83989abb929c,Pet_5859,14,Male,Medium,Available,2025-07-29,,Cat,British Shorthair,Forever Homes,SomeCity,SomeState,2025-12-31
24a3cfe0-2305-4885-b270-0715e0e570f1,Pet_8134,14,Female,Medium,Adopted,2025-12-11,,Dog,Shih Tzu,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
8f4f7d6b-21f7-4f46-98ec-4f901916c287,Pet_6278,10,Male,Small,Pending,2025-08-02,,Dog,Dachshund,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
4b802dfd-738c-41c8-8a15-adcd2f9741ec,Pet_9874,9,Male,Large,Pending,2025-11-02,2026-01-27,Cat,Scottish Fold,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
32174ec7-2edb-40b1-b953-0d93a077a717,Pet_2286,14,Female,Medium,Pending,2025-07-04,2025-09-19,Dog,Border Collie,Forever Homes,SomeCity,SomeState,2025-12-31
1adcb11d-9627-4d70-84d9-a8dc596433e9,Pet_7556,3,Female,Medium,Pending,2025-07-14,,Dog,Dachshund,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
aea3df41-1f7c-417d-8d71-20f947c47377,Pet_3638,10,Female,Large,Pending,2025-12-03,,Dog,Yorkshire Terrier,Forever Homes,SomeCity,SomeState,2025-12-31
2297e206-9d91-4a1c-acb7-dbe20d904c32,Pet_9100,1,Female,Medium,Pending,2025-12-17,2026-01-21,Dog,Yorkshire Terrier,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
d08dfb3a-01b8-4ca1-8f74-ba20cc9d552e,Pet_5345,12,Male,Small,Pending,2025-12-20,2026-01-14,Cat,Himalayan,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
26a5de91-eda2-41bb-90f7-8fe60c37ea2d,Pet_3573,10,Male,Small,Pending,2025-11-24,2026-02-21,Cat,Abyssinian,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
1d889c66-9d5c-470d-9cb3-c0652ad47b9b,Pet_4505,10,Female,Small,Pending,2025-12-04,,Dog,Yorkshire Terrier,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
14ed939a-ea64-4633-b4cb-06e5dfbe380e,Pet_9743,11,Male,Large,Available,2025-07-10,2025-07-11,Cat,Siamese,Forever Homes,SomeCity,SomeState,2025-12-31
57a24a75-18da-4995-86a5-72bc85950962,Pet_1386,3,Male,Medium,Adopted,2025-11-02,,Cat,Ragdoll,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
d699559d-f9ba-4477-9cea-69490d7e5999,Pet_3784,4,Male,Medium,Adopted,2025-12-21,,Dog,Pomeranian,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
8e319e0e-3925-4192-8eea-056c700827c7,Pet_9000,0,Female,Large,Pending,2025-07-30,,Cat,Bengal,Forever Homes,SomeCity,SomeState,2025-12-31
9bed9be5-28d0-4314-a2ca-53ffeda6ed3f,Pet_7494,14,Female,Small,Adopted,2025-11-06,,Dog,Golden Retriever,Forever Homes,SomeCity,SomeState,2025-12-31
0642439b-88b9-4dee-887e-c192748277e3,Pet_2654,9,Female,Small,Adopted,2025-09-16,2025-10-17,Dog,Bulldog,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
81632223-b406-4477-91f1-ae18c079169b,Pet_3966,14,Male,Medium,Pending,2025-07-19,,Cat,British Shorthair,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
fee5b334-843c-4afe-931a-84b7a8a0c641,Pet_3385,4,Female,Medium,Available,2025-12-02,,Dog,Beagle,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
51c9b0a7-1eb3-400c-9f55-21b05e516b21,Pet_5828,6,Male,Small,Available,2025-10-20,2025-12-27,Dog,Beagle,Safe Haven Animal Shelter,SomeCity,SomeState,2025-12-31
000fe972-de62-4325-8ea9-aba8534ede01,Pet_8167,12,Male,Medium,Pending,2025-11-21,,Dog,Australian Shepherd,Forever Homes,SomeCity,SomeState,2025-12-31
e05d1b3f-7e73-4ff0-bffa-d58df15ff1ff,Pet_6243,10,Female,Large,Available,2025-08-12,2025-09-21,Dog,Boxer,Forever Homes,SomeCity,SomeState,2025-12-31
b262850b-a5fa-4f3c-9a9e-7cb4b4bb85b0,Pet_4097,13,Male,Large,Adopted,2025-08-10,2025-10-27,Dog,Labrador Retriever,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
bbbe1bbd-547b-4e4d-98bb-b5b94dd322d4,Pet_8950,5,Male,Large,Pending,2025-12-25,,Dog,Cocker Spaniel,Forever Homes,SomeCity,SomeState,2025-12-31
f35f86dd-b056-4f99-a749-d2e81c1cb184,Pet_9162,5,Female,Large,Available,2025-08-02,2025-10-26,Dog,Mastiff,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
da40aa0e-31c3-4e88-b31e-6e6da4065402,Pet_6663,12,Male,Medium,Pending,2025-10-22,,Cat,British Shorthair,Forever Homes,SomeCity,SomeState,2025-12-31
8d25e05c-00ac-41ae-9e6d-25c662193e7b,Pet_3733,11,Female,Medium,Available,2025-08-27,2025-10-02,Cat,Sphynx,Furry Friends Rescue,SomeCity,SomeState,2025-12-31
3d1357cf-bf16-4fc1-8875-0174fe6e77ef,Pet_3616,10,Female,Medium,Available,2025-09-23,2025-09-24,Cat,Himalayan,Forever Homes,SomeCity,SomeState,2025-12-31
57db4344-cf53-47dd-b34b-8177009caa3a,Pet_4509,0,Female,Large,Adopted,2025-07-04,2025-09-05,Dog,Siberian Husky,Happy Tails Shelter,SomeCity,SomeState,2025-12-31
95444749-b24a-4666-b9b6-d6133fdfc230,Pet_3425,14,Male,Small,Adopted,2025-07-19,2025-09-03,Cat,Turkish Van,Paws & Claws Rescue,SomeCity,SomeState,2025-12-31
e7341e42-271f-4600-99f2-4daa792e4e99,Pet_3764,7,Male,Small,Adopted,2025-11-05,,Cat,Ragdoll,Forever Homes,SomeCity,SomeState,2025-12-31
de67ad12-235f-49f2-b9ea-8f9b1d651957,Pet_4816,0,Male,Small,Available,2025-12-26,,Cat,Sphynx,Forever Homes,SomeCity,SomeState,2025-12-31
