pet_id,name,age,gender,size,status,date_arrived,adopted_date,type_id,breed_id,shelter_id,snapshot_date,snapshot_file
2919e410-a2a0-4eee-aa82-b78fca8f15f9,Pet_3565,14,Female,Medium,Adopted,2025-07-11,2025-12-31,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,6d8bc93a-8c49-4828-b34a-ca501a34c67b,f0a1c196-83cc-4a38-99be-4ff540552b3d,2025-12-31,animals_snapshot_20251231_143114.csv
e0b86510-4ff9-4d03-b492-6dabdec20666,Pet_9574,7,Female,Medium,Adopted,2025-09-30,2025-12-31,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,6c0686e2-478b-4a48-96af-b628ea8dbbf2,04cb58d9-2c08-47ab-ac7b-e3843630148e,2025-12-31,animals_snapshot_20251231_143114.csv
a5acc29f-c649-4710-8f1a-17ee69d5b254,Pet_7778,10,Male,Medium,Adopted,2025-09-11,2025-10-21,dc47c99b-8a16-4667-ab3f-ea339ece6697,43b69617-bb3b-4660-9c3c-7ac39b5a5484,243b0906-b9ab-45f1-a1e7-5e5b0e6db74f,2025-12-31,animals_snapshot_20251231_143114.csv
9cf1e351-60e6-4ed9-ab78-a2877b229625,Pet_7537,15,Female,Large,Adopted,2025-11-16,2026-02-04,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,6c0686e2-478b-4a48-96af-b628ea8dbbf2,f0a1c196-83cc-4a38-99be-4ff540552b3d,2025-12-31,animals_snapshot_20251231_143114.csv
8918dba3-cfbb-41ac-8920-b4bb209a22ff,Pet_3715,1,Male,Medium,Adopted,2025-08-24,2025-12-31,dc47c99b-8a16-4667-ab3f-ea339ece6697,433d6004-c694-44e1-9d4a-513a341dc6a9,10f8f88d-e4c7-4cff-9178-e536e3f3df12,2025-12-31,animals_snapshot_20251231_143114.csv
cfe50f46-7ca5-43db-aac8-3a851627406e,Pet_9732,8,Female,Small,Adopted,2025-12-09,2025-12-31,dc47c99b-8a16-4667-ab3f-ea339ece6697,0f5de5f3-4c81-4252-98e1-05eb38d9eb15,04cb58d9-2c08-47ab-ac7b-e3843630148e,2025-12-31,animals_snapshot_20251231_143114.csv
9a42b3bf-60d9-4ec1-a423-ed67e96f5c4d,Pet_8215,4,Male,Medium,Available,2025-12-17,,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,6f52367b-0d5f-49d4-8ec0-38777e4c92a1,d09318e3-6265-440f-82ad-eb5630f8dc02,2025-12-31,animals_snapshot_20251231_143114.csv
3c87d18b-1d06-43d8-8a48-d85c607f31f8,Pet_9674,2,Female,Medium,Adopted,2025-12-11,2025-12-31,dc47c99b-8a16-4667-ab3f-ea339ece6697,6c841531-0151-4d47-a3d8-57c9c3dd1448,04cb58d9-2c08-47ab-ac7b-e3843630148e,2025-12-31,animals_snapshot_20251231_143114.csv
971aa4a3-9f80-4dcb-945f-2a565c30c5bc,Pet_1162,4,Female,Large,Pending,2025-10-27,,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,63912480-21b8-4209-83b3-e9eff5f4ccff,10f8f88d-e4c7-4cff-9178-e536e3f3df12,2025-12-31,animals_snapshot_20251231_143114.csv
b49e51eb-429b-4bdd-aa93-51b571015052,Pet_1391,9,Female,Medium,Adopted,2025-08-08,2025-12-31,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,c0b17046-cba1-4927-a6cf-e97a9f8f73ec,10f8f88d-e4c7-4cff-9178-e536e3f3df12,2025-12-31,animals_snapshot_20251231_143114.csv
97c48a69-a4af-4088-a63d-4ae829b69366,Pet_8082,2,Male,Medium,Pending,2025-07-21,,dc47c99b-8a16-4667-ab3f-ea339ece6697,43b69617-bb3b-4660-9c3c-7ac39b5a5484,04cb58d9-2c08-47ab-ac7b-e3843630148e,2025-12-31,animals_snapshot_20251231_143114.csv
40046195-0923-45b5-8bce-a776c9b126ae,Pet_3285,4,Male,Small,Available,2025-08-16,,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,cfbe75fb-c5e4-4efc-a6d9-abb87151c122,243b0906-b9ab-45f1-a1e7-5e5b0e6db74f,2025-12-31,animals_snapshot_20251231_143114.csv
4578f925-910e-4168-aef0-041ccb8b9cdb,Pet_5711,13,Female,Small,Adopted,2025-12-22,2026-02-20,eeccbbc8-d85d-43cb-b98a-7e8e03f389b7,9ba7fb10-962f-4d77-ba61-7e20940c388d,243b0906-b9ab-45f1-a1e7-5e5b0e6db74f,2025-12-31,animals_snapshot_20251231_143114.csv
